epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.3915,0,99.0669,0,0,0,0,0,0,118.395,0,5.001e-05,5.001e-05,5.001e-05
2,14.1537,0,97.1893,0,0,0,0,0,0,118.656,0,0.000105138,0.000105138,0.000105138
3,20.8641,0,94.9877,0,0,0,0,0,0,118.376,0,0.000147063,0.000147063,0.000147063
4,27.6401,0,92.0596,0,0,0,0,0,0,118.078,0,0.000175785,0.000175785,0.000175785
5,34.3143,0,88.5734,0,0,0,0,0,0,118.014,0,0.000191305,0.000191305,0.000191305
6,41.0557,0,86.6395,0,0,0,0,0,0,117.897,0,0.000193622,0.000193622,0.000193622
7,47.8153,0,84.3779,0,0,0,0,0,0,117.529,0,0.000182737,0.000182737,0.000182737
8,54.5278,0,82.3641,0,0,0,0,0,0,116.647,0,0.000158648,0.000158648,0.000158648
9,61.2817,0,80.7273,0,0,0,0,0,0,115.61,0,0.000121358,0.000121358,0.000121358
10,68.0965,0,80.0653,0,0,0,0,0,0,114.783,0,7.08642e-05,7.08642e-05,7.08642e-05
