epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62278,1.36192,3.91971,1.43204,0.00709,0.83501,0.0933,0.05407,0.9595,3.31859,1.14414,5.001e-05,5.001e-05,5.001e-05
2,14.5113,1.16719,3.62184,1.33131,0.00678,0.88488,0.23192,0.15314,0.87639,3.34472,1.13067,0.000105138,0.000105138,0.000105138
3,21.8077,0.87149,3.03164,1.04036,0.0063,0.91565,0.31916,0.2387,0.80548,3.21828,1.00547,0.000147063,0.000147063,0.000147063
4,28.8555,0.93294,2.50899,1.12295,0.00604,0.91565,0.34428,0.26409,0.7872,3.07156,0.9696,0.000175785,0.000175785,0.000175785
5,35.7658,0.89063,2.23843,1.0436,0.98562,0.27692,0.35229,0.26181,0.79006,3.00222,0.96468,0.000191305,0.000191305,0.000191305
6,44.4906,0.82608,2.27098,1.15827,1,0.07408,0.36704,0.27881,0.80713,2.93361,0.95811,0.000193622,0.000193622,0.000193622
7,56.0697,0.76983,1.81303,1.0088,1,0.23174,0.39331,0.32045,0.77931,2.89408,0.94339,0.000182737,0.000182737,0.000182737
8,63.3734,1.01496,1.99386,1.13523,1,0.22066,0.3967,0.33108,0.74241,2.87624,0.92123,0.000158648,0.000158648,0.000158648
9,70.3591,0.81659,1.9328,0.99338,1,0.1443,0.40722,0.34069,0.73154,2.82289,0.91039,0.000121358,0.000121358,0.000121358
10,77.2315,0.81936,1.73538,1.13002,1,0.1178,0.42336,0.35008,0.72148,2.77072,0.90647,7.08642e-05,7.08642e-05,7.08642e-05
